,Company,Revenue Growth (%),Net Income Growth (%)
0,Apple,-1.449709806732195,-0.7460392145818027
1,MSFT,-7.220526179598459,-5.081266937144317
2,Tesla,-16.583421584262183,-23.700350046999535
